HOUR;E_th_RH_HH;E_th_TWE_HH;E_el_HH;E_th_RH_GHD;E_th_TWE_GHD;E_el_GHD;E_th_KL_GHD;E_th_loss
0;819.5572204;22.06065494;105.170847;615.8007144;0;19.80792361;0;0
900;811.9344932;14.97900402;97.59197844;615.5654536;0;19.72023764;0;0
1800;800.3178788;21.44936888;95.1678136;618.2391264;0;19.41735188;0;0
2700;828.3817832;14.96329638;93.84831576;617.0813964;0;19.09539088;0;0
3600;835.5054372;12.94712177;89.14705112;616.5185028;0;18.81061234;0;0
4500;842.2071608;8.49024316;85.23202104;615.6718172;0;18.68239428;0;0
5400;832.7640276;11.02859564;81.9613098;615.532352;0;18.70955031;0;0
6300;834.6015932;14.06533736;78.40423792;614.7415672;0;18.75501206;0;0
7200;856.8757336;11.64228052;76.41815004;613.8261516;0;18.7548338;0;0
8100;845.7679292;12.92105372;73.59091956;608.6273644;0;18.68058224;0;0
9000;883.3902048;7.890677336;70.71955368;607.934852;0;18.53860208;0;0
9900;887.9114204;3.537391816;68.34595636;606.801024;0;18.47277736;0;0
10800;898.4965224;17.26111986;67.21767516;605.7303716;0;18.55927259;0;0
11700;889.660012;4.240244036;66.3085804;594.1126964;0;18.92566499;0;0
12600;880.0292716;2.19912038;66.97239148;593.1519716;0;19.47510659;0;0
13500;884.9121732;3.273852388;67.8995166;591.400094;0;20.08696928;0;0
14400;887.91123;8.653647228;67.73635956;588.7165036;0;20.59330868;0;0
15300;880.7858116;4.272697528;67.09580064;581.2964428;0;20.91622154;0;0
16200;900.0551012;5.222915456;66.86072208;580.8622264;0;21.0396947;0;0
17100;897.918134;7.950261028;67.57334608;581.082866;0;21.04365406;0;0
18000;902.43258;9.347250012;68.6005904;579.2776364;0;21.03925918;0;0
18900;903.0053592;7.529560244;68.59229288;579.3253032;0;21.03160691;0;0
19800;905.18206;5.641941132;71.02482648;578.6276932;0;21.07827096;0;0
20700;908.9751636;10.59703446;72.66666448;579.4126628;0;21.20534005;0;0
