Time;T_amp
0;2.3
3600;2.2
7200;2.2
10800;2.4
14400;2.4
18000;2.6
21600;2.1
25200;2.1
28800;1.9
32400;2.3
36000;2.6
39600;2.8
43200;2.6
46800;2.2
50400;2.2
54000;2.1
57600;1.8
61200;1.5
64800;0.8
68400;0.1
72000;0.8
75600;1.1
79200;1.1
82800;0.9
86400;0.8
90000;1.1
93600;1
97200;1.1
100800;0.5
104400;-0.1
108000;-0.5
111600;-0.7
115200;-0.2
118800;0.3
122400;0.6
126000;1.2
129600;1.8
133200;1.4
136800;1.7
140400;1.2
144000;0.8
147600;-0.4
151200;-0.1
154800;-1.4
158400;-1.1
162000;-1.6
165600;-2.8
169200;-2.6
172800;-3.8
176400;-5.1
180000;-4.6
183600;-5
187200;-5.5
190800;-5.5
194400;-5.5
198000;-7.4
201600;-7.3
205200;-5.3
208800;-3
212400;-1.8
216000;-0.3
219600;0.2
223200;0
226800;-0.4
230400;-0.5
234000;-0.9
237600;-1
241200;-0.7
244800;-0.6
248400;-0.2
252000;0
255600;0.2
259200;0.3
262800;0.2
266400;0.3
270000;0.3
273600;0.5
277200;0.1
280800;0.2
284400;0.4
288000;0
291600;0
295200;0.1
298800;0.3
302400;0.5
306000;0.6
309600;0.6
313200;0.5
316800;0.6
320400;0.2
324000;0.2
327600;0.3
331200;0.1
334800;0.1
338400;0
342000;-0.4
345600;-0.6
349200;-0.8
352800;-1.1
356400;-1.5
360000;-1.7
363600;-2
367200;-2.2
370800;-2.6
374400;-2.7
378000;-2.8
381600;-2.7
385200;-2.5
388800;-2.1
392400;-2
396000;-1.7
399600;-2.1
403200;-2.5
406800;-2.4
410400;-2.9
414000;-3.5
417600;-3.8
421200;-4
424800;-4.2
428400;-4.2
432000;-3.4
435600;-3.4
439200;-2.5
442800;-1.2
446400;-0.4
450000;0.4
453600;1.1
457200;1.6
460800;1.8
464400;1.9
468000;1.7
471600;1.9
475200;1.9
478800;1.9
482400;2
486000;2.3
489600;2
493200;1.7
496800;1.9
500400;1.8
504000;1.3
507600;1.2
511200;1.3
514800;0.8
518400;0.7
522000;1
525600;1.3
529200;1.4
532800;1
536400;0.6
540000;0
543600;-0.5
547200;-0.8
550800;-0.7
554400;0.3
558000;0.5
561600;0.4
565200;0.5
568800;0.9
572400;0.6
576000;0.8
579600;1
583200;1.4
586800;1.5
590400;1.6
594000;1.6
597600;2
601200;2.2
604800;2.1
608400;3
612000;3.6
615600;4
619200;4.5
622800;4.8
626400;4.5
630000;4.8
633600;5.2
637200;5.7
640800;5.8
644400;7.2
648000;7.7
651600;8.5
655200;8.3
658800;8.7
662400;8.8
666000;8.7
669600;8.2
673200;6.4
676800;5.3
680400;4.4
684000;2.9
687600;2.6
691200;2.6
694800;2.5
698400;1.8
702000;1.8
705600;1.7
709200;1.8
712800;1.5
716400;1.1
720000;1.3
723600;1.6
727200;2.5
730800;3
734400;3.2
738000;3.1
741600;3.2
745200;2.8
748800;3
752400;2.9
756000;2.4
759600;2.3
763200;2.1
766800;2.1
770400;1.9
774000;2
777600;2
781200;2
784800;1.6
788400;1.3
792000;1.3
795600;0.9
799200;0.6
802800;0
806400;-0.1
810000;0.5
813600;0.4
817200;0.4
820800;0.5
824400;0.7
828000;0.9
831600;0.6
835200;0.7
838800;0.4
842400;0.4
846000;0.4
849600;0.4
853200;0.2
856800;0
860400;-0.3
864000;-0.9
867600;-1.3
871200;-1.4
874800;-1.9
878400;-2.1
882000;-2.2
885600;-2.5
889200;-2.5
892800;-2.2
896400;-1.8
900000;-1.4
903600;-1.3
907200;-0.7
910800;-0.1
914400;0.2
918000;0.6
921600;0.7
925200;0.6
928800;0.9
932400;1.2
936000;1.6
939600;2.1
943200;1.8
946800;2
950400;2.3
954000;2.3
957600;2.3
961200;1.6
964800;1.8
968400;2.3
972000;2.2
975600;2
979200;2.7
982800;2.4
986400;2.5
990000;2.7
993600;2.5
997200;2.4
1000800;2.6
1004400;2.2
