,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('chp', 'electricity'), 'flow')","(('chp', 'electricity'), 'status')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-01-01 00:00:00,0.0,0.0,675.0970469999995,1.0,977.1141469736837,1776.5711763157883,127.97048724963906,261.4997944036922,1.0,0.0,-0.0,-0.0,1238.613941377378,19444.44075438923,1495.743122
2018-01-01 01:00:00,0.0,0.0,675.0970469999995,1.0,977.1141469736837,1776.5711763157883,128.0011730704966,261.8758726090984,1.0,0.0,-0.0,-0.0,1238.9900195827831,19151.381556783643,1525.2751524999999
2018-01-01 02:00:00,0.0,0.0,675.0970470000003,1.0,977.1141469736849,1776.5711763157904,128.0521531867315,262.50266948807786,1.0,0.0,-0.0,-0.0,1239.616816461763,18840.80968203119,1543.44746925
2018-01-01 03:00:00,0.0,0.0,675.0970469999995,1.0,977.1141469736837,1776.5711763157883,128.0829570914425,262.8814004218841,1.0,0.0,-0.0,-0.0,1239.995547395567,18525.612832557326,1548.48598025
2018-01-01 04:00:00,0.0,0.0,675.097047,1.0,977.1141469736843,1776.5711763157894,128.0578791506357,262.5707567688167,1.0,0.0,-0.0,-0.0,1239.6849037425018,18218.76222808946,1539.86441525
2018-01-01 05:00:00,0.0,0.0,675.0970469999995,1.0,977.1141469736837,1776.5711763157883,127.92977119632828,261.0009870620415,1.0,0.0,-0.0,-0.0,1238.1151340357246,17901.208636972176,1549.0320205
2018-01-01 06:00:00,0.0,0.0,675.097047,1.0,977.1141469736843,1776.5711763157894,127.89938179828496,260.6288375785053,1.0,0.0,-0.0,-0.0,1237.742984552191,17480.75105664708,1651.599448
2018-01-01 07:00:00,0.0,0.0,675.097047,1.0,977.1141469736843,1776.5711763157894,127.90983051063247,260.7554999226872,1.0,0.0,-0.0,-0.0,1237.8696468963717,16975.066944994443,1736.99976175
2018-01-01 08:00:00,0.0,0.0,675.097047,1.0,977.1141469736843,1776.5711763157894,128.0574887845858,262.5674521953881,1.0,0.0,-0.0,-0.0,1239.6815991690746,16407.524157407977,1800.7270612500001
2018-01-01 09:00:00,0.0,0.0,675.0970470000004,1.0,977.114146973685,1776.5711763157908,128.16505566724462,263.89402938604087,1.0,0.0,-0.0,-0.0,1241.0081763597263,15612.040339968758,2030.0582720000002
2018-01-01 10:00:00,0.0,0.0,675.0970469999977,1.0,977.114146973681,1776.5711763157835,128.1856295067279,264.1483032676501,1.0,0.0,-0.0,-0.0,1241.262450241331,14832.364159892193,2014.5940572499999
2018-01-01 11:00:00,0.0,0.0,675.097047,1.0,977.1141469736843,1776.5711763157894,128.07301064002058,262.7578094731743,1.0,0.0,-0.0,-0.0,1239.8719564468593,14093.046834962946,1972.9320855
2018-01-01 12:00:00,0.0,0.0,675.0970469999979,1.0,977.1141469736814,1776.5711763157842,127.97048724963871,261.49979440369145,1.0,0.0,-0.0,-0.0,1238.6139413773744,13466.296274946966,1859.19015975
2018-01-01 13:00:00,0.0,0.0,675.0970470000003,1.0,977.1141469736849,1776.5711763157904,127.95523392616315,261.31274169933477,1.0,0.0,-0.0,-0.0,1238.4268886730224,12920.88054676341,1777.73851425
2018-01-01 14:00:00,0.0,0.0,675.0970469999985,1.0,977.1141469736822,1776.5711763157856,127.88427552688967,260.4437341677493,1.0,0.0,-0.0,-0.0,1237.5578811414325,12430.145251007038,1722.25019825
2018-01-01 15:00:00,0.0,0.0,675.0970470000001,1.0,977.1141469736846,1776.57117631579,127.76284974864868,258.9635155239577,1.0,0.0,-0.0,-0.0,1236.0776624976443,11944.167512857974,1716.067418
