,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('gas_boiler', 'heat_generation'), 'status')","(('chp', 'electricity'), 'flow')","(('chp', 'electricity'), 'status')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electricity', 'electrolysis'), 'status')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-01-01 00:00:00,1030.2211522085138,875.6879793772367,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,164.0257076301755,335.1764125,1.0,0.0,0.0,0.0,0.0,1500.338076087763,0.0,1495.743122
2018-01-01 01:00:00,1064.3976152967489,904.7379730022366,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,164.06503906970147,335.658449375,1.0,0.0,0.0,0.0,0.0,1529.8701065877628,0.0,1525.2751524999999
2018-01-01 02:00:00,1084.831641326161,922.1068951272367,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,164.1303826486798,336.461844,1.0,0.0,0.0,0.0,0.0,1548.042423337763,0.0,1543.44746925
2018-01-01 03:00:00,1090.1881989732196,926.6599691272366,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,164.16986544175649,336.94728100000003,1.0,0.0,0.0,0.0,0.0,1553.080934337763,0.0,1548.48598025
2018-01-01 04:00:00,1080.5136123555728,918.4365705022368,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,164.13772188213474,336.54911462499996,1.0,0.0,0.0,0.0,0.0,1544.459369337763,0.0,1539.86441525
2018-01-01 05:00:00,1093.6661439732195,929.6162223772366,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.97351997660203,334.537068,1.0,0.0,0.0,0.0,0.0,1553.626974587763,0.0,1549.0320205
2018-01-01 06:00:00,1214.894883679102,1032.6606511272366,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.93456847594263,334.06006675,1.0,0.0,0.0,0.0,0.0,1656.194402087763,0.0,1651.599448
2018-01-01 07:00:00,1315.1748422085138,1117.8986158772368,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.94796107507574,334.22241575,1.0,0.0,0.0,0.0,0.0,1741.594715837763,0.0,1736.99976175
2018-01-01 08:00:00,1387.415826032043,1179.3034521272366,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,164.13722153186686,336.544879,1.0,0.0,0.0,0.0,0.0,1805.322015337763,0.0,1800.7270612500001
2018-01-01 09:00:00,1655.216855737926,1406.934327377237,1.0,199.9999999999999,1.0,289.4736842105262,526.3157894736839,164.27509499335696,338.2452145,1.0,0.0,0.0,0.0,0.0,2034.6532260877632,0.0,2030.0582720000002
2018-01-01 10:00:00,1977.1975084856035,1680.6178822127629,1.0,0.0,0.0,0.0,0.0,164.30146543745343,338.57112912499997,1.0,0.0,0.0,0.0,0.0,2019.1890113377628,0.0,2014.5940572499999
2018-01-01 11:00:00,1930.2802009856034,1640.738170837763,1.0,0.0,0.0,0.0,0.0,164.1571166137419,336.78886875,1.0,0.0,0.0,0.0,0.0,1977.527039587763,0.0,1972.9320855
2018-01-01 12:00:00,1798.363178044427,1528.608701337763,1.0,0.0,0.0,0.0,0.0,164.0257076301755,335.1764125,1.0,0.0,0.0,0.0,0.0,1863.785113837763,0.0,1859.19015975
2018-01-01 13:00:00,1702.81977642678,1447.396809962763,1.0,0.0,0.0,0.0,0.0,164.00615673816424,334.93665837500004,1.0,0.0,0.0,0.0,0.0,1782.333468337763,0.0,1777.73851425
2018-01-01 14:00:00,1298.2925376496903,1103.5486570022367,1.0,199.99999999999994,1.0,289.4736842105263,526.315789473684,163.91520606740218,333.822811125,1.0,0.0,0.0,0.0,0.0,1726.845152337763,0.0,1722.25019825
2018-01-01 15:00:00,1293.2507548555725,1099.2631416272366,1.0,200.00000000000003,1.0,289.4736842105264,526.3157894736843,163.75956901679294,331.92554624999997,1.0,0.0,0.0,0.0,0.0,1720.662372087763,0.0,1716.067418
2018-01-01 16:00:00,1154.2172833849843,981.0846908772365,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.52896710448815,329.12643325,1.0,0.0,0.0,0.0,0.0,1599.684808337763,0.0,1595.08985425
2018-01-01 17:00:00,1206.0736777967486,1025.1626261272363,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.17222954248118,324.84205225,1.0,0.0,0.0,0.0,0.0,1639.4783625877628,0.0,1634.8834084999999
2018-01-01 18:00:00,1188.035199267337,1009.8299193772365,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.08378111583932,323.786967,1.0,0.0,0.0,0.0,0.0,1623.0905705877628,0.0,1618.4956164999999
2018-01-01 19:00:00,1155.428472208514,982.1142013772368,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.36156960191505,327.11463299999997,1.0,0.0,0.0,0.0,0.0,1598.702518587763,0.0,1594.1075645
