,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('chp', 'electricity'), 'flow')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-01-01 00:00:00,0.0,0.0,0.0,-0.0,0.0,859.0620462193589,1755.4402838847527,1.0,0.0,-0.0,-0.0,1755.44028388476,51584.131937675906,1495.743122
2018-01-01 01:00:00,0.0,0.0,0.0,-0.0,0.0,859.2680392152583,1757.9648856083077,1.0,0.0,-0.0,-0.0,1757.9648856083077,51806.44575697905,1525.2751524999999
2018-01-01 02:00:00,0.0,0.0,0.0,-0.0,0.0,859.6102672079089,1762.1725542746756,1.0,0.0,-0.0,-0.0,1762.1725542746863,52014.77001380754,1543.44746925
2018-01-01 03:00:00,0.0,0.0,0.0,-0.0,0.0,859.8170528971812,1764.7149636844913,1.0,0.0,-0.0,-0.0,1764.7149636844988,52220.57482244502,1548.48598025
2018-01-01 04:00:00,0.0,0.0,0.0,-0.0,0.0,859.6487054320137,1762.6296221500136,1.0,0.0,-0.0,-0.0,1762.629622150016,52432.89279029815,1539.86441525
2018-01-01 05:00:00,0.0,0.0,0.0,-0.0,0.0,858.7887205735542,1752.0918051472156,1.0,0.0,-0.0,-0.0,1752.091805147218,52625.48154172819,1549.0320205
2018-01-01 06:00:00,0.0,0.0,0.0,-0.0,0.0,858.5847174551251,1749.5935768158488,1.0,0.0,-0.0,-0.0,1749.5935768158597,52712.9830541816,1651.599448
2018-01-01 07:00:00,0.0,0.0,0.0,-0.0,0.0,858.6548593480051,1750.4438573368461,1.0,0.0,-0.0,-0.0,1750.4438573368461,52715.924727236736,1736.99976175
2018-01-01 08:00:00,0.0,0.0,0.0,-0.0,0.0,859.6460849164166,1762.6074386476096,1.0,0.0,-0.0,-0.0,1762.6074386476096,52667.30235243394,1800.7270612500001
2018-01-01 09:00:00,0.0,0.0,0.0,-0.0,0.0,860.36817817642,1771.5127115770385,1.0,0.0,-0.0,-0.0,1771.5127115770385,52398.259488850206,2030.0582720000002
2018-01-01 10:00:00,0.0,0.0,0.0,-0.0,0.0,860.5062897443719,1773.2196445248699,1.0,0.0,-0.0,-0.0,1773.2196445248699,52146.41792421235,2014.5940572499999
2018-01-01 11:00:00,0.0,0.0,0.0,-0.0,0.0,859.7502826668315,1763.885301349255,1.0,0.0,-0.0,-0.0,1763.885301349255,51926.932211672,1972.9320855
2018-01-01 12:00:00,0.0,0.0,0.0,-0.0,0.0,859.0620462193554,1755.4402838847527,1.0,0.0,-0.0,-0.0,1755.4402838847527,51812.7680048663,1859.19015975
2018-01-01 13:00:00,0.0,0.0,0.0,-0.0,0.0,858.9596511159335,1754.1846046855114,1.0,0.0,-0.0,-0.0,1754.1846046855114,51778.81255858036,1777.73851425
2018-01-01 14:00:00,0.0,0.0,0.0,-0.0,0.0,858.4833095079125,1748.3509831661443,1.0,0.0,-0.0,-0.0,1748.3509831661504,51794.51561211324,1722.25019825
2018-01-01 15:00:00,0.0,0.0,0.0,-0.0,0.0,857.6681818971481,1738.4143197657177,1.0,0.0,-0.0,-0.0,1738.4143197657177,51806.463022676995,1716.067418
2018-01-01 16:00:00,0.0,0.0,0.0,-0.0,0.0,856.4604361510177,1723.754351056419,1.0,0.0,-0.0,-0.0,1723.754351056421,51924.726689352276,1595.08985425
