,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('chp', 'electricity'), 'flow')","(('chp', 'electricity'), 'status')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-01-01 00:00:00,0.0,0.0,690.909091,1.0,1000.0000001315791,1818.1818184210526,559.677011860089,1143.665439425752,1.0,0.0,-0.0,-0.0,2143.6654395573278,35891.25579877122,1495.743122
2018-01-01 01:00:00,0.0,0.0,690.909091,1.0,1000.0000001315791,1818.1818184210526,559.8112158386244,1145.3102118318839,1.0,0.0,-0.0,-0.0,2145.310211963464,36502.67362256176,1525.2751524999999
2018-01-01 02:00:00,0.0,0.0,690.909091,1.0,1000.0000001315791,1818.1818184210526,560.0341766144395,1148.0514986067487,1.0,0.0,-0.0,-0.0,2148.0514987383285,37098.591895658144,1543.44746925
2018-01-01 03:00:00,0.0,0.0,690.909091,1.0,1000.0000001315791,1818.1818184210526,560.1688970309418,1149.7078726808597,1.0,0.0,-0.0,-0.0,2149.7078728124397,37691.06124812207,1548.48598025
2018-01-01 04:00:00,0.0,0.0,690.909091,1.0,1000.0000001315791,1818.1818184210526,560.0592190319285,1148.3492773106411,1.0,0.0,-0.0,-0.0,2148.3492774422193,38290.727173024774,1539.86441525
2018-01-01 05:00:00,0.0,0.0,690.909091,1.0,1000.0000001315791,1818.1818184210526,559.498940809947,1141.4839129779834,1.0,0.0,-0.0,-0.0,2141.483913109565,38874.29292464428,1549.0320205
2018-01-01 06:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,37213.74193627701,1651.599448
2018-01-01 07:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,35467.97672972851,1736.99976175
2018-01-01 08:00:00,0.0,0.0,690.909091,1.0,1000.0000001315791,1818.1818184210526,560.0575117718479,1148.334824808179,1.0,0.0,-0.0,-0.0,2148.3348249397604,35807.01469402381,1800.7270612500001
2018-01-01 09:00:00,0.0,0.0,690.909091,1.0,1000.0000001315791,1818.1818184210526,560.5279539242181,1154.1365903091412,1.0,0.0,-0.0,-0.0,2154.136590440714,35922.48521757144,2030.0582720000002
2018-01-01 10:00:00,0.0,0.0,690.909091,1.0,1000.0000001315791,1818.1818184210526,560.6179333034664,1155.2486533270478,1.0,0.0,-0.0,-0.0,2155.248653458628,36054.51907827095,2014.5940572499999
2018-01-01 11:00:00,0.0,0.0,690.909091,1.0,1000.0000001315791,1818.1818184210526,560.1253963744227,1149.1673495152963,1.0,0.0,-0.0,-0.0,2149.167349646872,36222.118810063206,1972.9320855
2018-01-01 12:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,34354.27433529691,1859.19015975
2018-01-01 13:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,32568.090832683243,1777.73851425
2018-01-01 14:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,30837.59582109411,1722.25019825
2018-01-01 15:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,29113.477523850164,1716.067418
2018-01-01 16:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,27510.530009822167,1595.08985425
2018-01-01 17:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,3.637978807091713e-12,25867.96858157415,1634.8834084999999
2018-01-01 18:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,24241.97902483069,1618.4956164999999
2018-01-01 19:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,3.637978807091713e-12,22640.5597424059,1594.1075645
2018-01-01 20:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,3.637978807091713e-12,21023.83087849437,1609.5966147499998
2018-01-01 21:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,19307.024067068938,1709.85574675
2018-01-01 22:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,17635.70941372172,1664.5559887499999
2018-01-01 23:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,16024.675068961777,1604.462982
2018-01-02 00:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,14315.97499801134,1702.3092545
2018-01-02 01:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,1.8189894035458565e-12,12597.633223628332,1712.1424495
2018-01-02 02:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,10881.783883094638,1709.84258775
