sec;CHP;Electrolysis;Heatpump;Boiler;Beladen TES;Entladen TES;date
0;0.55;0;0.744290638;0;0;1;01.01.2018 00:00
3600;0.55;0;0.743063954;0.275;0;1;01.01.2018 01:00
7200;0.55;1;0.743063954;0;1;0;01.01.2018 02:00
10800;0.55;1;0.74552104;0.275;0;1;01.01.2018 03:00
14400;0.55;1;0.74552104;0;1;0;01.01.2018 04:00
18000;0.55;1;0.747993062;0;1;0;01.01.2018 05:00
21600;0.55;1;0.741840971;0.275;0;1;01.01.2018 06:00
25200;0.55;1;0.741840971;0;1;0;01.01.2018 07:00
28800;0.55;1;0.739406045;0.275;0;1;01.01.2018 08:00
32400;0.55;1;0.744290638;0.275;1;0;01.01.2018 09:00
36000;0.55;1;0.747993062;0.275;1;0;01.01.2018 10:00
39600;0.55;1;0.750480155;0.275;1;0;01.01.2018 11:00
43200;0.55;1;0.747993062;0.275;0;1;01.01.2018 12:00
46800;0.55;0.924583252;0.743063954;0.275;0;1;01.01.2018 13:00
50400;0.55;0;0.743063954;0.275;0;1;01.01.2018 14:00
54000;0.55;0;0.741840971;0.275;0;1;01.01.2018 15:00
57600;0.55;0;0.73819407;0;1;0;01.01.2018 16:00
61200;0.55;0;0.734579903;0.275;0;1;01.01.2018 17:00
64800;0.55;0;0.726271769;0;1;0;01.01.2018 18:00
68400;0.55;0;0.718134296;0.275;0;1;01.01.2018 19:00
72000;0.55;0;0.726271769;0;1;0;01.01.2018 20:00
75600;0.55;0;0.729811199;0.275;0;1;01.01.2018 21:00
79200;0.55;0;0.729811199;0.275;0;1;01.01.2018 22:00
82800;0.55;0;0.727448076;0;1;0;01.01.2018 23:00
86400;0.55;0;0.726271769;0.275;0;1;02.01.2018 00:00
90000;0.55;0;0.729811199;0.275;0;1;02.01.2018 01:00
93600;0.55;0;0.728627881;0;1;0;02.01.2018 02:00
97200;0.55;0;0.729811199;0.275;0;1;02.01.2018 03:00
100800;0.55;0;0.722763682;0.275;0;1;02.01.2018 04:00
104400;0.55;0;0.715839938;0;1;0;02.01.2018 05:00
108000;0.55;0;0.711291317;0.275;0;1;02.01.2018 06:00
111600;0.55;0;0.709036829;0.275;1;0;02.01.2018 07:00
115200;0.55;0;0.714697793;0.275;1;0;02.01.2018 08:00
118800;0.55;0;0.720442172;0.311487596;1;0;02.01.2018 09:00
122400;0.55;0.57131444;0.723929587;0.282620954;1;1;02.01.2018 10:00
126000;1;0.55;0.730998045;0.275;0;1;02.01.2018 11:00
129600;1;0.755681263;0.73819407;0.275;0;1;02.01.2018 12:00
133200;1;1;0.733382381;0.275;0;1;02.01.2018 13:00
136800;1;0.73591301;0.736985732;0;1;0;02.01.2018 14:00
140400;1;0;0.730998045;0.275;0;1;02.01.2018 15:00
144000;1;0;0.726271769;0.275;0;1;02.01.2018 16:00
147600;1;0;0.712423496;0;1;0;02.01.2018 17:00
151200;1;0;0.715839938;0.275;0;1;02.01.2018 18:00
154800;1;0;0.701248296;0.275;0;1;02.01.2018 19:00
158400;1;0;0.70456694;0;1;0;02.01.2018 20:00
162000;1;0;0.699051748;0.275;0;1;02.01.2018 21:00
165600;1;0;0.68613304;0.275;0;1;02.01.2018 22:00
169200;1;0;0.688255647;0.275;1;0;02.01.2018 23:00
172800;1;0;0.675697618;0.305869957;1;0;03.01.2018 00:00
176400;1;0;0.662559415;0.317950406;1;1;03.01.2018 01:00
180000;1;0;0.667556714;0.325897309;1;1;03.01.2018 02:00
183600;1;0;0.663553378;0.328121526;1;1;03.01.2018 03:00
187200;1;0;0.658610717;0.339835661;1;1;03.01.2018 04:00
190800;1;0;0.658610717;0.337713922;1;1;03.01.2018 05:00
194400;1;0;0.658610717;0.38702766;1;1;03.01.2018 06:00
198000;1;0;0.640429304;0.443206287;1;1;03.01.2018 07:00
201600;1;0;0.641363214;0.449804662;1;1;03.01.2018 08:00
205200;1;0.831277103;0.660579657;0.432829846;1;1;03.01.2018 09:00
208800;1;1;0.684022403;0.375011855;1;1;03.01.2018 10:00
212400;1;1;0.69686778;0.317418895;0;1;03.01.2018 11:00
216000;1;0.55;0.713558982;0.275;0;1;03.01.2018 12:00
219600;0.938849119;0.55;0.719286537;0.275;0;1;03.01.2018 13:00
223200;1;0.55;0.716985435;0.275;0;1;03.01.2018 14:00
226800;1;0;0.712423496;0.275;0;1;03.01.2018 15:00
230400;1;0;0.711291317;0.275;0;1;03.01.2018 16:00
234000;1;0;0.706795406;0.275;0;1;03.01.2018 17:00
237600;1;0;0.70567956;0.275;0;1;03.01.2018 18:00
241200;1;0;0.709036829;0.275;0;1;03.01.2018 19:00
244800;1;0;0.710162433;0.275;0;1;03.01.2018 20:00
248400;1;0;0.714697793;0.275;0;1;03.01.2018 21:00
252000;1;0;0.716985435;0.275;0;1;03.01.2018 22:00
255600;1;0;0.719286537;0.275;0;1;03.01.2018 23:00
259200;1;0;0.720442172;0.275;0;1;04.01.2018 00:00
262800;1;0;0.719286537;0.275;0;1;04.01.2018 01:00
266400;1;0;0.720442172;0.275;0;1;04.01.2018 02:00
270000;1;0;0.720442172;0.275;0;1;04.01.2018 03:00
273600;1;0;0.722763682;0;1;0;04.01.2018 04:00
277200;1;0;0.718134296;0.275;0;1;04.01.2018 05:00
280800;1;0;0.719286537;0.275;1;0;04.01.2018 06:00
284400;1;0;0.721601216;0.275;1;0;04.01.2018 07:00
288000;1;0;0.716985435;0.275;1;0;04.01.2018 08:00
291600;0.976970656;0;0.716985435;0.275;1;0;04.01.2018 09:00
295200;0.988352771;0;0.718134296;0.275;1;0;04.01.2018 10:00
298800;1;0;0.720442172;0.275;1;0;04.01.2018 11:00
302400;0.99530875;0;0.722763682;0.275;0;1;04.01.2018 12:00
306000;0.986553241;0;0.723929587;0.275;0;1;04.01.2018 13:00
309600;0.98129978;0;0.723929587;0.275;0;1;04.01.2018 14:00
313200;1;0;0.722763682;0.275;0;1;04.01.2018 15:00
316800;1;0;0.723929587;0.275;0;1;04.01.2018 16:00
320400;1;0;0.719286537;0.275;0;1;04.01.2018 17:00
324000;1;0;0.719286537;0.275;1;0;04.01.2018 18:00
327600;1;0;0.720442172;0.275;1;0;04.01.2018 19:00
331200;1;0;0.718134296;0.275;0;1;04.01.2018 20:00
334800;1;0;0.718134296;0.275;0;1;04.01.2018 21:00
338400;1;0;0.716985435;0.275;0;1;04.01.2018 22:00
342000;1;0;0.712423496;0.275;0;1;04.01.2018 23:00
345600;1;0;0.710162433;0.275;0;1;05.01.2018 00:00
349200;1;0;0.707914491;0.275;0;1;05.01.2018 01:00
352800;1;0;0.70456694;0.275;0;1;05.01.2018 02:00
356400;1;0;0.700148442;0.275;0;1;05.01.2018 03:00
360000;1;0;0.697958197;0.275;0;1;05.01.2018 03:59
363600;1;0;0.694696289;0.275;1;0;05.01.2018 04:59
367200;1;0;0.692537172;0.275;1;0;05.01.2018 05:59
370800;1;0;0.688255647;0.275;1;0;05.01.2018 06:59
374400;1;0;0.687192842;0.275;1;0;05.01.2018 07:59
378000;1;0;0.68613304;0.275;1;0;05.01.2018 08:59
381600;0.955762562;0;0.687192842;0.275;1;0;05.01.2018 09:59
385200;1;0.55;0.689321471;0.275;1;0;05.01.2018 10:59
388800;1;0.55;0.69361519;0.275;0;1;05.01.2018 11:59
392400;1;0.55;0.694696289;0.275;0;1;05.01.2018 12:59
396000;1;0.55;0.697958197;0.275;0;1;05.01.2018 13:59
399600;1;0.55;0.69361519;0.275;0;1;05.01.2018 14:59
403200;1;0;0.689321471;0.275;0;1;05.01.2018 15:59
406800;1;0;0.690390325;0.275;0;1;05.01.2018 16:59
410400;1;0;0.685076231;0.275;1;0;05.01.2018 17:59
414000;1;0;0.678797543;0.275;1;0;05.01.2018 18:59
417600;1;0;0.675697618;0.275;1;0;05.01.2018 19:59
421200;1;0;0.673645387;0.275;1;0;05.01.2018 20:59
424800;1;0;0.671604552;0.275;1;0;05.01.2018 21:59
428400;1;0;0.671604552;0.275;1;0;05.01.2018 22:59
432000;1;0;0.679836651;0.275;1;0;05.01.2018 23:59
435600;1;0;0.679836651;0.275;1;0;06.01.2018 00:59
439200;1;0;0.689321471;0.275;0;1;06.01.2018 01:59
442800;1;0;0.703457532;0.275;0;1;06.01.2018 02:59
