,Normed PV feed in series for 1 kWp installed PV capacity,Heat demand time series inclusive losses of district hetaing network. This demand time series needs to be equal to the thermal energy after the thermal storage in the modelica model,This is the COP of the air source heat pump. It must be identical to the COP of the modelica model.,Maximum thermal power of the air sourced heatpump. ,Fixed loss factor related to the thermal capacity of the storage. It can be considered as thermal losses in the empty state e.g. at 50C,Loss factor dependent on the state of charge of the storage. It is related to the thermal capacity of the storage
SECONDS,pv_normed_per_kWp,Heat_demand_after_storage_kW,COP_Heatpump_air,Maximum-Power_Heatpump_air,TES_fix_loss_factor,TES_SOC_loss_factor
0,0,1469.843341,2.043438296,0.670352825,0.0001,0.0002
900,0,1499.200614,2.043438296,0.670352825,0.0001,0.0002
1800,0,1496.737224,2.049966853,0.672923688,0.0001,0.0002
2700,0,1517.191309,2.049966853,0.672923688,0.0001,0.0002
3600,0,1522.26697,2.05653726,0.675512685,0.0001,0.0002
4500,0,1522.26697,2.040189587,0.669074136,0.0001,0.0002
5400,0,1517.612613,2.040189587,0.669074136,0.0001,0.0002
6300,0,1538.954057,2.033723059,0.666530129,0.0001,0.0002
7200,0,1539.061852,2.046697368,0.671636002,0.0001,0.0002
8100,0,1539.913498,2.05653726,0.675512685,0.0001,0.0002
9000,0,1539.913498,2.06314992,0.678120002,0.0001,0.0002
9900,0,1554.901029,2.05653726,0.675512685,0.0001,0.0002
10800,0,1578.134897,2.043438296,0.670352825,0.0001,0.0002
11700,0,1538.375653,2.043438296,0.670352825,0.0001,0.0002
12600,0,1538.375653,2.040189587,0.669074136,0.0001,0.0002
13500,0,1539.057718,2.030505142,0.665264766,0.0001,0.0002
14400,0,1535.60309,2.020912205,0.66149497,0.0001,0.0002
15300,0,1535.60309,1.998877336,0.65284936,0.0001,0.0002
16200,0,1542.716216,1.977317797,0.644408678,0.0001,0.0002
17100,0,1545.535265,1.998877336,0.65284936,0.0001,0.0002
18000,0,1547.59478,2.008261737,0.656529109,0.0001,0.0002
18900,0,1546.5431,2.008261737,0.656529109,0.0001,0.0002
19800,0,1550.995101,2.00199571,0.654071734,0.0001,0.0002
20700,0,1550.995101,1.998877336,0.65284936,0.0001,0.0002
21600,0,1622.254576,2.008261737,0.656529109,0.0001,0.0002
22500,0,1622.254576,2.005123828,0.65529831,0.0001,0.0002
23400,0,1681.344469,2.008261737,0.656529109,0.0001,0.0002
24300,0,1680.544171,1.989580233,0.649207247,0.0001,0.0002
25200,0,1687.830528,1.971243088,0.642033708,0.0001,0.0002
26100,0,1724.301847,1.959204962,0.637331607,0.0001,0.0002
27000,0,1767.933336,1.953240868,0.635004164,0.0001,0.0002
27900,0,1767.933336,1.968219709,0.640852233,0.0001,0.0002
28800,0,1764.063464,1.983430062,0.646799804,0.0001,0.0002
29700,0,1803.626863,1.992669643,0.650417137,0.0001,0.0002
30600,0,1803.626863,2.011409483,0.657764154,0.0001,0.0002
31500,0,1831.591055,2.030505142,0.665264766,0.0001,0.0002
32400,0.015238531,2094.683452,2.01773467,0.660247063,0.0001,0.0002
33300,0.048887174,2094.683452,2.027297393,0.6640038,0.0001,0.0002
34200,0.085475217,1931.793888,2.011409483,0.657764154,0.0001,0.0002
35100,0.130167223,1999.072296,1.998877336,0.65284936,0.0001,0.0002
36000,0.171437992,1999.725925,1.962200688,0.638501201,0.0001,0.0002
36900,0.19376469,2014.624194,1.971243088,0.642033708,0.0001,0.0002
37800,0.191784115,2022.013055,1.932649473,0.626979471,0.0001,0.0002
38700,0.184262017,2022.013055,1.941420953,0.630395733,0.0001,0.0002
39600,0.178818222,2135.001207,1.926845721,0.624720765,0.0001,0.0002
40500,0.175300549,1923.733361,1.892742257,0.611475955,0.0001,0.0002
41400,0.167997692,1923.733361,1.898342086,0.613647517,0.0001,0.0002
42300,0.166827986,1909.260413,1.865231468,0.600826239,0.0001,0.0002
43200,0.165020948,1925.443183,1.83064087,0.587480418,0.0001,0.0002
44100,0.162640984,1862.721783,1.843792026,0.592548535,0.0001,0.0002
45000,0.160674698,1862.721783,1.833256071,0.588487671,0.0001,0.0002
45900,0.163090993,1785.87389,1.820254255,0.583482824,0.0001,0.0002
46800,0.166659017,1807.429545,1.820254255,0.583482824,0.0001,0.0002
47700,0.167161195,1781.07319,1.820254255,0.583482824,0.0001,0.0002
48600,0.149664237,1766.1136,1.772485152,0.565156513,0.0001,0.0002
49500,0.081138809,1756.337722,1.774936722,0.566094662,0.0001,0.0002
50400,0.041862287,1750.914435,1.825432788,0.585475366,0.0001,0.0002
51300,0.035570716,1744.423898,1.887175368,0.60931844,0.0001,0.0002
52200,0.029062953,1696.83123,1.921076722,0.622476932,0.0001,0.0002
53100,0.021995691,1696.83123,1.96520559,0.639674737,0.0001,0.0002
54000,0.014748338,1740.389984,1.980369213,0.645602212,0.0001,0.0002
54900,0.007816995,1748.861777,1.974275769,0.643219184,0.0001,0.0002
55800,0.002902256,1748.861777,1.962200688,0.638501201,0.0001,0.0002
56700,0.000582014,1626.156134,1.959204962,0.637331607,0.0001,0.0002
57600,0,1621.318114,1.947312974,0.632692256,0.0001,0.0002
58500,0,1621.318114,1.9443625,0.631542081,0.0001,0.0002
59400,0,1580.15873,1.953240868,0.635004164,0.0001,0.0002
60300,0,1557.564459,1.956218369,0.636165934,0.0001,0.0002
61200,0,1561.832089,1.968219709,0.640852233,0.0001,0.0002
62100,0,1691.077648,1.974275769,0.643219184,0.0001,0.0002
63000,0,1680.835572,1.980369213,0.645602212,0.0001,0.0002
63900,0,1605.788325,1.983430062,0.646799804,0.0001,0.0002
64800,0,1605.360638,1.980369213,0.645602212,0.0001,0.0002
65700,0,1622.249887,1.983430062,0.646799804,0.0001,0.0002
66600,0,1622.249887,1.983430062,0.646799804,0.0001,0.0002
67500,0,1624.122054,1.989580233,0.649207247,0.0001,0.0002
68400,0,1605.012154,1.977317797,0.644408678,0.0001,0.0002
69300,0,1605.012154,1.980369213,0.645602212,0.0001,0.0002
70200,0,1570.930284,1.986500387,0.648001476,0.0001,0.0002
71100,0,1595.475666,1.974275769,0.643219184,0.0001,0.0002
72000,0,1597.043883,1.974275769,0.643219184,0.0001,0.0002
72900,0,1592.91274,1.977317797,0.644408678,0.0001,0.0002
73800,0,1624.214918,1.983430062,0.646799804,0.0001,0.0002
74700,0,1624.214918,1.989580233,0.649207247,0.0001,0.0002
75600,0,1710.676487,1.992669643,0.650417137,0.0001,0.0002
76500,0,1743.491591,1.992669643,0.650417137,0.0001,0.0002
77400,0,1743.491591,1.989580233,0.649207247,0.0001,0.0002
78300,0,1641.763318,1.992669643,0.650417137,0.0001,0.0002
79200,0,1655.900768,1.980369213,0.645602212,0.0001,0.0002
80100,0,1655.900768,1.980369213,0.645602212,0.0001,0.0002
81000,0,1713.766451,1.983430062,0.646799804,0.0001,0.0002
81900,0,1632.655968,1.977317797,0.644408678,0.0001,0.0002
82800,0,1617.827886,1.977317797,0.644408678,0.0001,0.0002
83700,0,1564.706238,1.974275769,0.643219184,0.0001,0.0002
84600,0,1617.658902,1.962200688,0.638501201,0.0001,0.0002
85500,0,1617.658902,1.956218369,0.636165934,0.0001,0.0002
86400,0,1703.242374,1.950272416,0.633846278,0.0001,0.0002
87300,0,1703.242374,1.941420953,0.630395733,0.0001,0.0002
88200,0,1706.505158,1.929743233,0.62584825,0.0001,0.0002
89100,0,1696.247112,1.923956897,0.623596998,0.0001,0.0002
90000,0,1705.506351,1.915342164,0.62024783,0.0001,0.0002
90900,0,1714.136238,1.909641741,0.618033319,0.0001,0.0002
91800,0,1718.366779,1.898342086,0.613647517,0.0001,0.0002
92700,0,1710.56043,1.895538035,0.612559972,0.0001,0.0002
93600,0,1710.573831,1.892742257,0.611475955,0.0001,0.0002
94500,0,1710.675736,1.895538035,0.612559972,0.0001,0.0002
95400,0,1710.675736,1.901154444,0.614738608,0.0001,0.0002
96300,0,1707.445048,1.912487705,0.619138759,0.0001,0.0002
97200,0,1718.243031,1.915342164,0.62024783,0.0001,0.0002
98100,0,1718.243031,1.923956897,0.623596998,0.0001,0.0002
99000,0,1699.713817,1.912487705,0.619138759,0.0001,0.0002
99900,0,1727.344019,1.901154444,0.614738608,0.0001,0.0002
100800,0,1710.7324,1.903975148,0.61583326,0.0001,0.0002
101700,0,1751.939466,1.889954713,0.61039545,0.0001,0.0002
102600,0,1724.138192,1.873400365,0.603985247,0.0001,0.0002
103500,0,1757.974499,1.865231468,0.600826239,0.0001,0.0002
104400,0,1757.947228,1.859825,0.598737015,0.0001,0.0002
105300,0,1697.862426,1.854449783,0.596661071,0.0001,0.0002
106200,0,1697.862426,1.854449783,0.596661071,0.0001,0.0002
107100,0,1711.108424,1.876139254,0.605045025,0.0001,0.0002
108000,0,1870.317566,1.876139254,0.605045025,0.0001,0.0002
108900,0,1870.317566,1.901154444,0.614738608,0.0001,0.0002
109800,0,1879.638225,1.938488293,0.629253195,0.0001,0.0002
110700,0,1906.186621,1.962200688,0.638501201,0.0001,0.0002
111600,0,1937.134746,1.986500387,0.648001476,0.0001,0.0002
112500,0,2036.084883,2.008261737,0.656529109,0.0001,0.0002
113400,0,2008.882471,2.024099763,0.662747208,0.0001,0.0002
114300,0,2008.882471,2.030505142,0.665264766,0.0001,0.0002
115200,0,1974.275401,2.033723059,0.666530129,0.0001,0.0002
116100,0,2010.62295,2.027297393,0.6640038,0.0001,0.0002
117000,0,2010.62295,2.033723059,0.666530129,0.0001,0.0002
117900,0,2095.896546,2.033723059,0.666530129,0.0001,0.0002
118800,0.00772496,2005.375166,2.033723059,0.666530129,0.0001,0.0002
119700,0.028813794,2005.375166,2.03695119,0.667799912,0.0001,0.0002
120600,0.04824129,1998.405048,2.046697368,0.671636002,0.0001,0.0002
121500,0.064453386,1978.309578,2.03695119,0.667799912,0.0001,0.0002
122400,0.078774688,1968.902879,2.027297393,0.6640038,0.0001,0.0002
123300,0.089277118,1929.583632,2.033723059,0.666530129,0.0001,0.0002
124200,0.093513368,1929.793487,2.030505142,0.665264766,0.0001,0.0002
125100,0.09091639,1929.793487,2.014567111,0.659003464,0.0001,0.0002
126000,0.082086093,1823.523624,2.011409483,0.657764154,0.0001,0.0002
126900,0.079789101,1844.098208,2.014567111,0.659003464,0.0001,0.0002
127800,0.083329564,1844.098208,1.998877336,0.65284936,0.0001,0.0002
128700,0.090915182,1790.378333,1.995768663,0.651631168,0.0001,0.0002
129600,0.09960912,1760.991172,2.005123828,0.65529831,0.0001,0.0002
130500,0.111185843,1760.991172,2.014567111,0.659003464,0.0001,0.0002
131400,0.117019691,1741.868137,2.01773467,0.660247063,0.0001,0.0002
132300,0.137769258,1700.889532,2.005123828,0.65529831,0.0001,0.0002
133200,0.15437497,1728.427361,1.992669643,0.650417137,0.0001,0.0002
134100,0.162715829,1688.06107,1.974275769,0.643219184,0.0001,0.0002
135000,0.16146012,1744.716486,1.959204962,0.637331607,0.0001,0.0002
135900,0.14266635,1711.677105,1.950272416,0.633846278,0.0001,0.0002
136800,0.129010183,1711.184087,1.953240868,0.635004164,0.0001,0.0002
137700,0.115185252,1678.992827,1.983430062,0.646799804,0.0001,0.0002
138600,0.101677595,1706.306511,1.989580233,0.649207247,0.0001,0.0002
139500,0.08535835,1704.213146,1.986500387,0.648001476,0.0001,0.0002
140400,0.066275281,1700.067338,1.989580233,0.649207247,0.0001,0.0002
141300,0.042208411,1700.067338,2.00199571,0.654071734,0.0001,0.0002
142200,0.019932047,1667.509736,1.992669643,0.650417137,0.0001,0.0002
143100,0.007619197,1703.138659,1.998877336,0.65284936,0.0001,0.0002
144000,0,1695.887009,2.005123828,0.65529831,0.0001,0.0002
144900,0,1702.656008,2.01773467,0.660247063,0.0001,0.0002
145800,0,1683.607799,2.020912205,0.66149497,0.0001,0.0002
146700,0,1652.041336,2.024099763,0.662747208,0.0001,0.0002
147600,0,1651.841855,2.024099763,0.662747208,0.0001,0.0002
148500,0,1633.883252,2.03695119,0.667799912,0.0001,0.0002
149400,0,1633.883252,2.043438296,0.670352825,0.0001,0.0002
150300,0,1672.57116,2.040189587,0.669074136,0.0001,0.0002
151200,0,1662.717574,2.759740323,0.961416283,0.0001,0.0002
152100,0,1662.717574,2.786708469,0.972701208,0.0001,0.0002
153000,0,1677.459417,2.804981967,0.98036026,0.0001,0.0002
153900,0,1650.91494,2.828163636,0.990090859,0.0001,0.0002
154800,0,1668.727429,2.842257475,0.996014615,0.0001,0.0002
155700,0,1657.61418,2.828163636,0.990090859,0.0001,0.0002
156600,0,1681.98066,2.842257475,0.996014615,0.0001,0.0002
157500,0,1716.167161,2.861269231,1,0.0001,0.0002
158400,0,1716.402247,2.885394604,1,0.0001,0.0002
159300,0,1708.897387,2.890268581,1,0.0001,0.0002
160200,0,1708.897387,2.960275087,1,0.0001,0.0002
161100,0,1723.913631,2.986106457,1,0.0001,0.0002
162000,0,1765.934739,3.028387611,1,0.0001,0.0002
162900,0,1765.934739,3.017705467,1,0.0001,0.0002
163800,0,1795.105135,3.039145648,1,0.0001,0.0002
164700,0,1813.826591,3.044553381,1,0.0001,0.0002
165600,0,1866.125109,3.039145648,1,0.0001,0.0002
166500,0,1876.862523,3.012392606,1,0.0001,0.0002
167400,0,1915.975542,2.919861775,1,0.0001,0.0002
168300,0,1915.975542,2.866061977,1,0.0001,0.0002
169200,0,1899.054326,2.8234967,0.988130607,0.0001,0.0002
