,Normed PV feed in series for 1 kWp installed PV capacity,Heat demand time series inclusive losses of district hetaing network. This demand time series needs to be equal to the thermal energy after the thermal storage in the modelica model,This is the COP of the air source heat pump. It must be identical to the COP of the modelica model.,Maximum thermal power of the air sourced heatpump. ,Fixed loss factor related to the thermal capacity of the storage. It can be considered as thermal losses in the empty state e.g. at 50C,Loss factor dependent on the state of charge of the storage. It is related to the thermal capacity of the storage
SECONDS,pv_normed_per_kWp,Heat_demand_after_storage_kW,COP_Heatpump_air,Maximum-Power_Heatpump_air,TES_fix_loss_factor,TES_SOC_loss_factor
0,0,1469.843341,2.043438296,0.670352825,0.0001,0.0002
900,0,1499.200614,2.043438296,0.670352825,0.0001,0.0002
1800,0,1496.737224,2.043438296,0.670352825,0.0001,0.0002
2700,0,1517.191309,2.043438296,0.670352825,0.0001,0.0002
3600,0,1522.26697,2.043438296,0.670352825,0.0001,0.0002
4500,0,1522.26697,2.045070435,0.670995541,0.0001,0.0002
5400,0,1517.612613,2.046702575,0.671638257,0.0001,0.0002
6300,0,1538.954057,2.048334714,0.672280972,0.0001,0.0002
7200,0,1539.061852,2.049966853,0.672923688,0.0001,0.0002
8100,0,1539.913498,2.049966853,0.672923688,0.0001,0.0002
9000,0,1539.913498,2.049966853,0.672923688,0.0001,0.0002
9900,0,1554.901029,2.049966853,0.672923688,0.0001,0.0002
10800,0,1578.134897,2.049966853,0.672923688,0.0001,0.0002
11700,0,1538.375653,2.051609455,0.673570937,0.0001,0.0002
12600,0,1538.375653,2.053252057,0.674218187,0.0001,0.0002
13500,0,1539.057718,2.054894658,0.674865436,0.0001,0.0002
14400,0,1535.60309,2.05653726,0.675512685,0.0001,0.0002
15300,0,1535.60309,2.052450342,0.673903048,0.0001,0.0002
16200,0,1542.716216,2.048363423,0.672293411,0.0001,0.0002
17100,0,1545.535265,2.044276505,0.670683773,0.0001,0.0002
18000,0,1547.59478,2.040189587,0.669074136,0.0001,0.0002
18900,0,1546.5431,2.040189587,0.669074136,0.0001,0.0002
19800,0,1550.995101,2.040189587,0.669074136,0.0001,0.0002
20700,0,1550.995101,2.040189587,0.669074136,0.0001,0.0002
21600,0,1622.254576,2.040189587,0.669074136,0.0001,0.0002
22500,0,1622.254576,2.038572955,0.668438134,0.0001,0.0002
23400,0,1681.344469,2.036956323,0.667802133,0.0001,0.0002
24300,0,1680.544171,2.035339691,0.667166131,0.0001,0.0002
25200,0,1687.830528,2.033723059,0.666530129,0.0001,0.0002
26100,0,1724.301847,2.036966636,0.667806597,0.0001,0.0002
27000,0,1767.933336,2.040210214,0.669083066,0.0001,0.0002
27900,0,1767.933336,2.043453791,0.670359534,0.0001,0.0002
28800,0,1764.063464,2.046697368,0.671636002,0.0001,0.0002
29700,0,1803.626863,2.049157341,0.672605173,0.0001,0.0002
30600,0,1803.626863,2.051617314,0.673574343,0.0001,0.0002
31500,0,1831.591055,2.054077287,0.674543514,0.0001,0.0002
32400,0.015238531,2094.683452,2.05653726,0.675512685,0.0001,0.0002
33300,0.048887174,2094.683452,2.058190425,0.676164514,0.0001,0.0002
34200,0.085475217,1931.793888,2.05984359,0.676816344,0.0001,0.0002
35100,0.130167223,1999.072296,2.061496755,0.677468173,0.0001,0.0002
36000,0.171437992,1999.725925,2.06314992,0.678120002,0.0001,0.0002
36900,0.19376469,2014.624194,2.061496755,0.677468173,0.0001,0.0002
37800,0.191784115,2022.013055,2.05984359,0.676816344,0.0001,0.0002
38700,0.184262017,2022.013055,2.058190425,0.676164514,0.0001,0.0002
39600,0.178818222,2135.001207,2.05653726,0.675512685,0.0001,0.0002
40500,0.175300549,1923.733361,2.053262519,0.67422272,0.0001,0.0002
41400,0.167997692,1923.733361,2.049987778,0.672932755,0.0001,0.0002
42300,0.166827986,1909.260413,2.046713037,0.67164279,0.0001,0.0002
43200,0.165020948,1925.443183,2.043438296,0.670352825,0.0001,0.0002
44100,0.162640984,1862.721783,2.043438296,0.670352825,0.0001,0.0002
45000,0.160674698,1862.721783,2.043438296,0.670352825,0.0001,0.0002
45900,0.163090993,1785.87389,2.043438296,0.670352825,0.0001,0.0002
46800,0.166659017,1807.429545,2.043438296,0.670352825,0.0001,0.0002
47700,0.167161195,1781.07319,2.042626119,0.670033153,0.0001,0.0002
48600,0.149664237,1766.1136,2.041813942,0.669713481,0.0001,0.0002
49500,0.081138809,1756.337722,2.041001764,0.669393808,0.0001,0.0002
50400,0.041862287,1750.914435,2.040189587,0.669074136,0.0001,0.0002
51300,0.035570716,1744.423898,2.037768476,0.668121794,0.0001,0.0002
52200,0.029062953,1696.83123,2.035347364,0.667169451,0.0001,0.0002
53100,0.021995691,1696.83123,2.032926253,0.666217108,0.0001,0.0002
54000,0.014748338,1740.389984,2.030505142,0.665264766,0.0001,0.0002
54900,0.007816995,1748.861777,2.028106908,0.664322317,0.0001,0.0002
55800,0.002902256,1748.861777,2.025708674,0.663379868,0.0001,0.0002
56700,0.000582014,1626.156134,2.023310439,0.662437419,0.0001,0.0002
57600,0,1621.318114,2.020912205,0.66149497,0.0001,0.0002
58500,0,1621.318114,2.015403488,0.659333568,0.0001,0.0002
59400,0,1580.15873,2.009894771,0.657172165,0.0001,0.0002
60300,0,1557.564459,2.004386053,0.655010763,0.0001,0.0002
61200,0,1561.832089,1.998877336,0.65284936,0.0001,0.0002
62100,0,1691.077648,1.993487451,0.65073919,0.0001,0.0002
63000,0,1680.835572,1.988097567,0.648629019,0.0001,0.0002
63900,0,1605.788325,1.982707682,0.646518849,0.0001,0.0002
64800,0,1605.360638,1.977317797,0.644408678,0.0001,0.0002
65700,0,1622.249887,1.982707682,0.646518849,0.0001,0.0002
66600,0,1622.249887,1.988097567,0.648629019,0.0001,0.0002
67500,0,1624.122054,1.993487451,0.65073919,0.0001,0.0002
68400,0,1605.012154,1.998877336,0.65284936,0.0001,0.0002
69300,0,1605.012154,2.001223436,0.653769297,0.0001,0.0002
70200,0,1570.930284,2.003569537,0.654689235,0.0001,0.0002
71100,0,1595.475666,2.005915637,0.655609172,0.0001,0.0002
72000,0,1597.043883,2.008261737,0.656529109,0.0001,0.0002
72900,0,1592.91274,2.008261737,0.656529109,0.0001,0.0002
73800,0,1624.214918,2.008261737,0.656529109,0.0001,0.0002
74700,0,1624.214918,2.008261737,0.656529109,0.0001,0.0002
75600,0,1710.676487,2.008261737,0.656529109,0.0001,0.0002
76500,0,1743.491591,2.00669523,0.655914765,0.0001,0.0002
77400,0,1743.491591,2.005128724,0.655300422,0.0001,0.0002
78300,0,1641.763318,2.003562217,0.654686078,0.0001,0.0002
79200,0,1655.900768,2.00199571,0.654071734,0.0001,0.0002
80100,0,1655.900768,2.001216117,0.65376614,0.0001,0.0002
81000,0,1713.766451,2.000436523,0.653460547,0.0001,0.0002
81900,0,1632.655968,1.99965693,0.653154954,0.0001,0.0002
82800,0,1617.827886,1.998877336,0.65284936,0.0001,0.0002
83700,0,1564.706238,2.001223436,0.653769297,0.0001,0.0002
84600,0,1617.658902,2.003569537,0.654689235,0.0001,0.0002
85500,0,1617.658902,2.005915637,0.655609172,0.0001,0.0002
86400,0,1703.242374,2.008261737,0.656529109,0.0001,0.0002
87300,0,1703.242374,2.00747726,0.656221409,0.0001,0.0002
88200,0,1706.505158,2.006692783,0.65591371,0.0001,0.0002
89100,0,1696.247112,2.005908305,0.65560601,0.0001,0.0002
90000,0,1705.506351,2.005123828,0.65529831,0.0001,0.0002
90900,0,1714.136238,2.005908305,0.65560601,0.0001,0.0002
91800,0,1718.366779,2.006692783,0.65591371,0.0001,0.0002
92700,0,1710.56043,2.00747726,0.656221409,0.0001,0.0002
93600,0,1710.573831,2.008261737,0.656529109,0.0001,0.0002
94500,0,1710.675736,2.003591361,0.654698644,0.0001,0.0002
95400,0,1710.675736,1.998920985,0.652868178,0.0001,0.0002
96300,0,1707.445048,1.994250609,0.651037713,0.0001,0.0002
97200,0,1718.243031,1.989580233,0.649207247,0.0001,0.0002
98100,0,1718.243031,1.984995947,0.647413862,0.0001,0.0002
99000,0,1699.713817,1.980411661,0.645620478,0.0001,0.0002
99900,0,1727.344019,1.975827374,0.643827093,0.0001,0.0002
100800,0,1710.7324,1.971243088,0.642033708,0.0001,0.0002
101700,0,1751.939466,1.968233557,0.640858183,0.0001,0.0002
102600,0,1724.138192,1.965224025,0.639682658,0.0001,0.0002
103500,0,1757.974499,1.962214494,0.638507132,0.0001,0.0002
104400,0,1757.947228,1.959204962,0.637331607,0.0001,0.0002
105300,0,1697.862426,1.957713939,0.636749746,0.0001,0.0002
106200,0,1697.862426,1.956222915,0.636167886,0.0001,0.0002
107100,0,1711.108424,1.954731892,0.635586025,0.0001,0.0002
108000,0,1870.317566,1.953240868,0.635004164,0.0001,0.0002
108900,0,1870.317566,1.956985578,0.636466181,0.0001,0.0002
109800,0,1879.638225,1.960730289,0.637928199,0.0001,0.0002
110700,0,1906.186621,1.964474999,0.639390216,0.0001,0.0002
111600,0,1937.134746,1.968219709,0.640852233,0.0001,0.0002
112500,0,2036.084883,1.972022297,0.642339126,0.0001,0.0002
113400,0,2008.882471,1.975824886,0.643826019,0.0001,0.0002
114300,0,2008.882471,1.979627474,0.645312911,0.0001,0.0002
115200,0,1974.275401,1.983430062,0.646799804,0.0001,0.0002
116100,0,2010.62295,1.985739957,0.647704137,0.0001,0.0002
117000,0,2010.62295,1.988049853,0.648608471,0.0001,0.0002
117900,0,2095.896546,1.990359748,0.649512804,0.0001,0.0002
118800,0.00772496,2005.375166,1.992669643,0.650417137,0.0001,0.0002
119700,0.028813794,2005.375166,1.997354603,0.652253891,0.0001,0.0002
120600,0.04824129,1998.405048,2.002039563,0.654090646,0.0001,0.0002
121500,0.064453386,1978.309578,2.006724523,0.6559274,0.0001,0.0002
122400,0.078774688,1968.902879,2.011409483,0.657764154,0.0001,0.0002
123300,0.089277118,1929.583632,2.016183398,0.659639307,0.0001,0.0002
124200,0.093513368,1929.793487,2.020957313,0.66151446,0.0001,0.0002
125100,0.09091639,1929.793487,2.025731227,0.663389613,0.0001,0.0002
126000,0.082086093,1823.523624,2.030505142,0.665264766,0.0001,0.0002
126900,0.079789101,1844.098208,2.027312524,0.66401034,0.0001,0.0002
127800,0.083329564,1844.098208,2.024119906,0.662755914,0.0001,0.0002
128700,0.090915182,1790.378333,2.020927288,0.661501489,0.0001,0.0002
129600,0.09960912,1760.991172,2.01773467,0.660247063,0.0001,0.0002
130500,0.111185843,1760.991172,2.020125351,0.661186247,0.0001,0.0002
131400,0.117019691,1741.868137,2.022516032,0.662125432,0.0001,0.0002
132300,0.137769258,1700.889532,2.024906712,0.663064616,0.0001,0.0002
133200,0.15437497,1728.427361,2.027297393,0.6640038,0.0001,0.0002
134100,0.162715829,1688.06107,2.023325416,0.662443889,0.0001,0.0002
135000,0.16146012,1744.716486,2.019353438,0.660883977,0.0001,0.0002
135900,0.14266635,1711.677105,2.015381461,0.659324066,0.0001,0.0002
136800,0.129010183,1711.184087,2.011409483,0.657764154,0.0001,0.0002
137700,0.115185252,1678.992827,2.008276446,0.656535456,0.0001,0.0002
138600,0.101677595,1706.306511,2.00514341,0.655306757,0.0001,0.0002
139500,0.08535835,1704.213146,2.002010373,0.654078059,0.0001,0.0002
140400,0.066275281,1700.067338,1.998877336,0.65284936,0.0001,0.0002
141300,0.042208411,1700.067338,1.989708174,0.64926232,0.0001,0.0002
142200,0.019932047,1667.509736,1.980539012,0.645675281,0.0001,0.0002
143100,0.007619197,1703.138659,1.97136985,0.642088241,0.0001,0.0002
144000,0,1695.887009,1.962200688,0.638501201,0.0001,0.0002
144900,0,1702.656008,1.964461288,0.639384328,0.0001,0.0002
145800,0,1683.607799,1.966721888,0.640267455,0.0001,0.0002
146700,0,1652.041336,1.968982488,0.641150581,0.0001,0.0002
147600,0,1651.841855,1.971243088,0.642033708,0.0001,0.0002
148500,0,1633.883252,1.961594684,0.638270149,0.0001,0.0002
149400,0,1633.883252,1.951946281,0.634506589,0.0001,0.0002
150300,0,1672.57116,1.942297877,0.63074303,0.0001,0.0002
151200,0,1662.717574,1.932649473,0.626979471,0.0001,0.0002
152100,0,1662.717574,1.934842343,0.627833537,0.0001,0.0002
153000,0,1677.459417,1.937035213,0.628687602,0.0001,0.0002
153900,0,1650.91494,1.939228083,0.629541668,0.0001,0.0002
154800,0,1668.727429,1.941420953,0.630395733,0.0001,0.0002
155700,0,1657.61418,1.937777145,0.628976991,0.0001,0.0002
156600,0,1681.98066,1.934133337,0.627558249,0.0001,0.0002
157500,0,1716.167161,1.930489529,0.626139507,0.0001,0.0002
158400,0,1716.402247,1.926845721,0.624720765,0.0001,0.0002
159300,0,1708.897387,1.918319855,0.621409563,0.0001,0.0002
160200,0,1708.897387,1.909793989,0.61809836,0.0001,0.0002
161100,0,1723.913631,1.901268123,0.614787157,0.0001,0.0002
162000,0,1765.934739,1.892742257,0.611475955,0.0001,0.0002
162900,0,1765.934739,1.894142214,0.612018846,0.0001,0.0002
163800,0,1795.105135,1.895542172,0.612561736,0.0001,0.0002
164700,0,1813.826591,1.896942129,0.613104627,0.0001,0.0002
165600,0,1866.125109,1.898342086,0.613647517,0.0001,0.0002
166500,0,1876.862523,1.890064432,0.610442198,0.0001,0.0002
167400,0,1915.975542,1.881786777,0.607236878,0.0001,0.0002
168300,0,1915.975542,1.873509123,0.604031559,0.0001,0.0002
